T1,T2,S1,S2,A_FT1,A_FT2,A_G,A_W,A_D,A_L,A_GP,A_GM,A_GD,A_P2PA,A_P2PB,A_Perc,A_PP,A_P3P,B_FT1,B_FT2,B_G,B_W,B_D,B_L,B_GP,B_GM,B_GD,B_P2PA,B_P2PB,B_Perc,B_PP,B_P3P
Belgium,Israel,3,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2
Norway,Italy,1,2,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Bosnia & Herzegovina,Cyprus,3,2,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,Bulgaria,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17
Malta,Croatia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Andorra,Wales,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-14,5,1,3,1,4,4,0,5,5,500,5,6
Malta,Jordan,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,Georgia,3,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Kitts/Nevis,Andorra,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Montenegro,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Hungary,0,1,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Albania,Kosovo,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,Iceland,4,2,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Qatar,2,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Luxembourg,0,1,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,Serbia,4,1,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Belgium,Italy,3,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Wales,Netherlands,2,3,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Switzerland,Slovakia,2,3,10,3,33,11,6,16,45,59,-14,28,38,424,34,39,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Rep. of Ireland,Bosnia & Herzegovina,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,3,1,0,2,4,4,0,2,4,333,3,3
North. Ireland,Latvia,1,0,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Spain,England,2,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,14,5,62,26,19,17,79,56,23,71,53,573,79,97
France,Germany,2,0,14,5,59,29,11,19,106,71,35,69,49,585,83,98,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Portugal,Russia,0,1,6,4,26,13,4,9,43,29,14,30,22,577,37,43,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Denmark,Sweden,1,2,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Slovenia,Ukraine,0,2,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
Norway,Hungary,1,2,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,9,-7,32,15,3,14,87,57,30,33,31,516,33,48
Albania,Georgia,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bosnia & Herzegovina,Rep. of Ireland,0,2,1,1,3,1,0,2,4,4,0,2,4,333,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
St. Kitts/Nevis,Estonia,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,Czech Republic,3,1,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Lebanon,Macedonia,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Croatia,Russia,3,1,4,1,16,7,2,7,21,17,4,16,16,500,23,23,10,1,40,17,8,15,66,47,19,42,38,525,44,59
Moldova,Azerbaijan,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Turkey,0,3,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,2,-3,10,5,1,4,20,17,3,11,9,550,15,16
Luxembourg,Portugal,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Iceland,Slovakia,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Denmark,Sweden,2,2,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Romania,Italy,2,2,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Austria,Switzerland,1,2,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Slovenia,Ukraine,1,1,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7
France,England,0,2,14,5,59,29,11,19,106,71,35,69,49,585,83,98,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Moldova,Norway,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Moldova,Sweden,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Norway,Poland,0,3,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,7,-2,31,15,5,11,44,40,4,35,27,565,37,50
Poland,Moldova,1,0,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iceland,Sweden,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Oman,Finland,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Faroe Islands,Gibraltar,4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,South Korea,0,2,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,9,8,31,5,9,17,31,67,-36,19,43,306,24,24
Liechtenstein,Georgia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Russia,Armenia,2,0,10,1,40,17,8,15,66,47,19,42,38,525,44,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kazakhstan,Lithuania,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Philippines,Azerbaijan,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bulgaria,Belarus,2,1,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Algeria,Slovenia,2,0,4,2,13,3,3,7,13,19,-6,9,17,346,10,12,2,-1,6,1,1,4,5,10,-5,3,9,250,4,4
Hungary,Finland,1,2,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ghana,Montenegro,0,1,3,3,12,4,3,5,13,16,-3,11,13,458,15,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kosovo,Haiti,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,-10,3,0,0,3,2,14,-12,0,6,0,0,0
Albania,Malta,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,Czech Republic,2,2,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41
Israel,Slovakia,1,3,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Cape Verde,Luxembourg,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Egypt,Bosnia & Herzegovina,2,0,2,-6,4,0,2,2,3,6,-3,2,6,250,2,2,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Andorra,Moldova,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Latvia,2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cyprus,North. Ireland,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14
Turkey,Sweden,2,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Romania,Argentina,0,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,16,11,77,43,13,21,131,84,47,99,55,643,118,142
Ukraine,United States,2,0,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Germany,Chile,1,0,18,16,106,66,20,20,224,121,103,152,60,717,179,218,9,2,33,11,7,15,40,49,-9,29,37,439,33,40
Serbia,Rep. of Ireland,2,1,11,-1,43,17,8,18,64,59,5,42,44,488,45,59,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gibraltar,Estonia,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austria,Uruguay,1,1,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40,12,2,51,20,12,19,80,71,9,52,50,510,57,72
Poland,Scotland,0,1,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19
Croatia,Switzerland,2,2,4,1,16,7,2,7,21,17,4,16,16,500,23,23,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
Belgium,Côte d`Ivoire,2,2,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Wales,Iceland,3,1,1,-14,5,1,3,1,4,4,0,5,5,500,5,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Netherlands,France,0,2,10,3,50,27,11,12,86,48,38,65,35,650,84,92,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Denmark,England,0,1,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,14,5,62,26,19,17,79,56,23,71,53,573,79,97
Spain,Italy,1,0,14,10,59,29,12,18,92,66,26,70,48,593,86,99,18,14,83,45,20,18,128,77,51,110,56,663,124,155
Cameroon,Portugal,1,5,7,2,23,4,7,12,18,43,-25,15,31,326,16,19,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Andorra,Indonesia,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Poland,Germany,0,0,7,-2,31,15,5,11,44,40,4,35,27,565,37,50,18,16,106,66,20,20,224,121,103,152,60,717,179,218
Netherlands,Ecuador,1,1,10,3,50,27,11,12,86,48,38,65,35,650,84,92,3,1,10,4,1,5,10,11,-1,9,11,450,13,13
Iran,Belarus,0,0,4,1,12,1,3,8,7,22,-15,5,19,208,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Liechtenstein,Belarus,1,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Czech Republic,Finland,2,2,9,-2,33,12,5,16,47,49,-2,29,37,439,30,41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey*,Kosovo,6,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ukraine,Niger,2,1,1,-2,5,2,1,2,5,7,-2,5,5,500,7,7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Hungary,Denmark,2,2,9,-7,32,15,3,14,87,57,30,33,31,516,33,48,4,-1,16,8,2,6,27,24,3,18,14,563,23,26
Bulgaria,Canada,1,1,7,-4,26,3,8,15,22,53,-31,14,38,269,17,17,1,-7,3,0,0,3,0,5,-5,0,6,0,0,0
Slovakia,Montenegro,2,0,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Saudi Arabia,Moldova,0,4,4,-2,13,2,2,9,9,32,-23,6,20,231,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Senegal,Kosovo,3,1,1,-3,5,2,2,1,7,6,1,6,4,600,8,8,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Turkey,Rep. of Ireland,2,1,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jamaica,Serbia,1,2,1,-4,3,1,0,2,3,9,-6,2,4,333,3,3,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
Russia,Slovakia,1,0,10,1,40,17,8,15,66,47,19,42,38,525,44,59,1,-1,4,1,1,2,5,7,-2,3,5,375,4,4
Belgium,Luxembourg,5,1,12,1,41,14,9,18,52,66,-14,37,45,451,44,51,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iran,Montenegro,0,0,4,1,12,1,3,8,7,22,-15,5,19,208,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Estonia,Gibraltar,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cameroon,Macedonia,2,0,7,2,23,4,7,12,18,43,-25,15,31,326,16,19,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Norway,France,0,4,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9,14,5,59,29,11,19,106,71,35,69,49,585,83,98
Japan,Cyprus,1,0,5,5,17,4,4,9,14,22,-8,12,22,353,16,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Canada,Moldova,1,1,1,-7,3,0,0,3,0,5,-5,0,6,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
U.A.E.,Armenia,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Azerbaijan,United States,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10,7,33,8,6,19,37,62,-25,22,44,333,27,30
Denmark,Sweden,1,0,4,-1,16,8,2,6,27,24,3,18,14,563,23,26,11,-2,46,16,13,17,74,69,5,45,47,489,50,61
Israel,Mexico,0,3,1,-11,3,0,2,1,1,3,-2,2,4,333,2,2,15,6,53,14,14,25,57,92,-35,42,64,396,50,56
Scotland,Nigeria,2,2,8,-4,23,4,7,12,25,41,-16,15,31,326,15,19,5,2,18,5,3,10,20,26,-6,13,23,361,18,18
Georgia,Saudi Arabia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,-2,13,2,2,9,9,32,-23,6,20,231,8,8
Turkey,Honduras,2,0,2,-3,10,5,1,4,20,17,3,11,9,550,15,16,3,2,9,0,3,6,3,14,-11,3,15,167,3,3
Estonia,Latvia,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lithuania,Finland,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Macedonia,Qatar,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Iceland,Austria,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7,-4,29,12,4,13,43,47,-4,28,30,483,28,40
Jamaica,Switzerland,0,1,1,-4,3,1,0,2,3,9,-6,2,4,333,3,3,10,3,33,11,6,16,45,59,-14,28,38,424,34,39
England,Peru,3,0,14,5,62,26,19,17,79,56,23,71,53,573,79,97,4,-8,15,4,3,8,19,31,-12,11,19,367,11,15
Bolivia,Spain,0,2,3,-5,6,0,1,5,1,20,-19,1,11,83,1,1,14,10,59,29,12,18,92,66,26,70,48,593,86,99
North. Ireland,Uruguay,0,1,3,-7,13,3,5,5,13,23,-10,11,15,423,11,14,12,2,51,20,12,19,80,71,9,52,50,510,57,72
Côte d`Ivoire,Bosnia & Herzegovina,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1,1,3,1,0,2,4,4,0,2,4,333,3,3
Russia,Norway,1,1,10,1,40,17,8,15,66,47,19,42,38,525,44,59,3,-4,8,2,3,3,7,8,-1,7,9,438,9,9
Finland,Estonia,2,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Italy,Rep. of Ireland,0,0,18,14,83,45,20,18,128,77,51,110,56,663,124,155,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mali,Croatia,1,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,1,16,7,2,7,21,17,4,16,16,500,23,23
Armenia,Algeria,1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4,2,13,3,3,7,13,19,-6,9,17,346,10,12
Romania,Albania,1,0,7,-4,21,8,5,8,30,32,-2,21,21,500,26,29,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Latvia,Lithuania,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greece,Portugal,0,0,3,2,10,2,2,6,5,20,-15,6,14,300,8,8,6,4,26,13,4,9,43,29,14,30,22,577,37,43
Ghana,Netherlands,0,1,3,3,12,4,3,5,13,16,-3,11,13,458,15,15,10,3,50,27,11,12,86,48,38,65,35,650,84,92
Panama,Serbia,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,11,-1,43,17,8,18,64,59,5,42,44,488,45,59
